"Algorithm","Polygons","Max vertices","Avg vertices","b","Depth","Cost","Memory","Time","EBF","Frontier","Explored"
A*-d2,10,17,10.6000,45,3,340.3500,6688,15,4.0000,78,5
A*-d6,10,17,10.6000,45,3,340.3500,34698,79,7.4145,428,41
UC,10,20,12.5000,41,11,720.7389,207116,596,1.8321,769,947
A*-d2,10,20,12.5000,41,11,720.7389,15620,38,1.4569,178,18
A*-d6,10,20,12.5000,41,11,720.7389,54952,134,1.6362,412,163
UC,12,20,12.6667,59,6,184.7070,101952,251,3.1216,1202,157
A*-d2,12,20,12.6667,59,6,184.7070,13316,33,2.1344,165,10
A*-d6,12,20,12.6667,59,6,184.7070,20356,50,2.3307,262,16
UC,12,20,14.3333,62,4,1585.6744,578218,2666,7.8432,1284,3051
A*-d2,12,20,14.3333,62,4,1585.6744,73046,187,5.3197,883,101
A*-d6,12,20,14.3333,62,4,1585.6744,164254,413,6.4972,1796,308
UC,12,17,10.6667,48,3,209.4877,134030,330,10.7727,935,441
A*-d2,12,17,10.6667,48,3,209.4877,7994,18,4.2800,93,7
A*-d6,12,17,10.6667,48,3,209.4877,9674,22,4.5987,113,9
UC,12,12,9.0000,54,8,251.2938,86000,207,2.1932,758,223
A*-d2,12,12,9.0000,54,8,251.2938,31530,74,1.9506,393,34
A*-d6,12,12,9.0000,54,8,251.2938,49680,116,2.0744,588,71
UC,12,14,8.2500,46,8,990.4983,151448,388,2.2805,622,678
A*-d2,12,14,8.2500,46,8,990.4983,37244,85,1.9763,408,60
A*-d6,12,14,8.2500,46,8,990.4983,45574,101,2.0293,481,83
UC,12,9,5.0000,30,3,813.4611,93056,216,8.3312,158,497
A*-d2,12,9,5.0000,30,3,813.4611,9882,20,4.5299,104,13
A*-d6,12,9,5.0000,30,3,813.4611,28772,61,6.4759,249,70
UC,12,13,7.4167,35,8,487.7177,175866,485,2.2810,374,928
A*-d2,12,13,7.4167,35,8,487.7177,24366,52,1.8612,275,33
A*-d6,12,13,7.4167,35,8,487.7177,30428,65,1.9139,324,50
UC,12,20,9.8333,50,4,447.8069,76124,183,5.1156,644,205
A*-d2,12,20,9.8333,50,4,447.8069,8778,20,2.8492,87,12
A*-d6,12,20,9.8333,50,4,447.8069,25098,59,3.7678,209,63
UC,12,16,10.0833,47,6,904.2209,277634,780,3.5170,1534,1108
A*-d2,12,16,10.0833,47,6,904.2209,33778,80,2.5556,416,39
A*-d6,12,16,10.0833,47,6,904.2209,58312,136,2.8135,679,88
UC,12,8,5.6667,38,3,375.9465,81252,193,9.2017,628,244
A*-d2,12,8,5.6667,38,3,375.9465,6984,16,4.0520,79,7
A*-d6,12,8,5.6667,38,3,375.9465,20070,45,5.7774,189,42
UC,12,20,12.7500,63,4,362.3335,304588,893,7.0896,1766,1173
A*-d2,12,20,12.7500,63,4,362.3335,33862,105,4.4152,470,19
A*-d6,12,20,12.7500,63,4,362.3335,60218,145,5.0915,767,67
UC,12,20,11.8333,56,6,466.7639,248890,660,3.4818,1604,893
A*-d2,12,20,11.8333,56,6,466.7639,57136,136,2.7951,648,92
A*-d6,12,20,11.8333,56,6,466.7639,58514,132,2.8013,649,100
UC,12,11,8.1667,40,3,405.1697,51358,122,8.0899,483,119
A*-d2,12,11,8.1667,40,3,405.1697,2580,7,2.4433,17,5
A*-d6,12,11,8.1667,40,3,405.1697,16350,41,5.6320,198,17
UC,12,14,6.3333,35,6,509.8980,115560,271,2.9730,568,470
A*-d2,12,14,6.3333,35,6,509.8980,17770,40,2.2468,209,20
A*-d6,12,14,6.3333,35,6,509.8980,29660,66,2.4857,357,35
UC,12,16,10.9167,57,13,1114.8294,228926,636,1.6799,1134,959
A*-d2,12,16,10.9167,57,13,1114.8294,39470,96,1.4770,423,66
A*-d6,12,16,10.9167,57,13,1114.8294,58660,136,1.5341,648,97
UC,12,18,9.8333,36,4,569.4982,150682,405,5.5499,427,728
A*-d2,12,18,9.8333,36,4,569.4982,30114,72,4.0347,286,64
A*-d6,12,18,9.8333,36,4,569.4982,35138,77,4.1516,309,80
UC,12,11,7.2500,33,3,212.2267,41046,87,7.6088,430,75
A*-d2,12,11,7.2500,33,3,212.2267,5536,15,3.7785,68,3
A*-d6,12,11,7.2500,33,3,212.2267,11150,24,4.9053,136,10
UC,12,12,8.5000,41,4,363.5499,113272,264,5.6870,960,307
A*-d2,12,12,8.5000,41,4,363.5499,4766,11,2.3979,50,4
A*-d6,12,12,8.5000,41,4,363.5499,4766,11,2.3979,50,4
UC,12,15,10.0000,51,6,381.9549,303060,1042,3.3713,440,1645
A*-d2,12,15,10.0000,51,6,381.9549,38332,102,2.5870,425,61
A*-d6,12,15,10.0000,51,6,381.9549,77964,194,2.8880,686,199
UC,12,16,8.5833,48,4,497.4153,102802,248,5.5851,914,269
A*-d2,12,16,8.5833,48,4,497.4153,21230,47,3.8305,272,17
A*-d6,12,16,8.5833,48,4,497.4153,34450,78,4.2410,360,61
UC,12,15,10.1667,46,5,883.4607,377292,1500,4.5812,400,2179
A*-d2,12,15,10.1667,46,5,883.4607,40180,91,3.2882,511,39
A*-d6,12,15,10.1667,46,5,883.4607,138252,331,4.1617,1308,333
UC,12,20,12.5833,76,5,772.5858,494164,1800,5.1879,2614,2039
A*-d2,12,20,12.5833,76,5,772.5858,55248,137,3.5032,660,76
A*-d6,12,20,12.5833,76,5,772.5858,70126,172,3.7076,868,89
UC,12,10,6.3333,40,4,728.9459,113256,277,5.2227,392,526
A*-d2,12,10,6.3333,40,4,728.9459,6252,15,2.6342,70,5
A*-d6,12,10,6.3333,40,4,728.9459,13712,35,3.3701,169,12
UC,12,15,11.2500,87,4,432.8827,282008,769,7.2253,2309,852
A*-d2,12,15,11.2500,87,4,432.8827,30240,71,4.2995,429,14
A*-d6,12,15,11.2500,87,4,432.8827,71940,165,5.3802,959,68
UC,12,10,6.3333,39,3,327.5349,68054,161,8.5302,489,212
A*-d2,12,10,6.3333,39,3,327.5349,11280,24,4.9412,141,8
A*-d6,12,10,6.3333,39,3,327.5349,13678,28,5.2445,163,13
UC,14,11,7.1429,49,4,539.1685,143424,350,6.0392,1182,410
A*-d2,14,11,7.1429,49,4,539.1685,10078,25,3.0815,125,6
A*-d6,14,11,7.1429,49,4,539.1685,20002,51,3.7940,267,12
UC,14,17,9.8571,59,4,384.9934,252480,740,6.5968,1121,1109
A*-d2,14,17,9.8571,59,4,384.9934,11238,26,3.1937,144,5
A*-d6,14,17,9.8571,59,4,384.9934,25016,59,4.0378,335,16
UC,14,10,6.4286,45,5,302.6425,156084,383,4.1443,1066,543
A*-d2,14,10,6.4286,45,5,302.6425,16298,36,2.6521,189,19
A*-d6,14,10,6.4286,45,5,302.6425,20412,45,2.7709,224,29
UC,14,8,6.5714,36,7,1402.6935,256472,874,2.7133,205,1507
A*-d2,14,8,6.5714,36,7,1402.6935,77130,180,2.4493,696,195
A*-d6,14,8,6.5714,36,7,1402.6935,100078,233,2.5229,767,308
UC,14,14,8.6429,55,7,824.1092,365246,1404,2.8821,466,2061
A*-d2,14,14,8.6429,55,7,824.1092,113822,275,2.6054,1026,294
A*-d6,14,14,8.6429,55,7,824.1092,118214,302,2.6094,1003,330
UC,14,19,10.8571,65,4,251.2248,273706,774,7.0909,2073,868
A*-d2,14,19,10.8571,65,4,251.2248,9198,22,2.9858,112,5
A*-d6,14,19,10.8571,65,4,251.2248,45102,112,4.6804,558,50
UC,14,11,7.7857,48,3,645.6677,359966,1286,13.3680,658,1922
A*-d2,14,11,7.7857,48,3,645.6677,20002,43,6.0977,253,16
A*-d6,14,11,7.7857,48,3,645.6677,95274,208,9.8290,824,231
UC,14,20,11.5000,55,6,478.8695,215810,612,3.4254,1573,706
A*-d2,14,20,11.5000,55,6,478.8695,42528,122,2.6626,516,52
A*-d6,14,20,11.5000,55,6,478.8695,88860,247,2.9894,880,190
UC,14,18,8.6429,58,4,406.4156,47816,112,4.6197,480,99
A*-d2,14,18,8.6429,58,4,406.4156,9014,20,2.9642,109,5
A*-d6,14,18,8.6429,58,4,406.4156,9108,20,2.9642,108,6
UC,14,10,5.1429,39,4,438.3466,52886,115,4.6282,447,136
A*-d2,14,10,5.1429,39,4,438.3466,9834,21,3.0616,121,7
A*-d6,14,10,5.1429,39,4,438.3466,12630,27,3.2629,147,14
UC,14,18,11.0000,49,5,258.0486,253472,762,4.4523,1183,1071
A*-d2,14,18,11.0000,49,5,258.0486,33006,89,3.0768,347,59
A*-d6,14,18,11.0000,49,5,258.0486,54100,130,3.4247,562,101
UC,14,17,10.2143,63,3,721.3479,281872,914,12.8580,951,1352
A*-d2,14,17,10.2143,63,3,721.3479,32894,78,7.3193,424,28
A*-d6,14,17,10.2143,63,3,721.3479,71328,167,9.6252,919,74
UC,14,14,8.6429,34,4,908.3407,282054,957,6.2748,245,1597
A*-d2,14,14,8.6429,34,4,908.3407,13750,32,3.3230,155,17
A*-d6,14,14,8.6429,34,4,908.3407,17534,39,3.5106,182,28
UC,14,17,11.9286,66,6,457.8416,134234,342,3.1984,1209,346
A*-d2,14,17,11.9286,66,6,457.8416,36776,91,2.5730,415,57
A*-d6,14,17,11.9286,66,6,457.8416,53072,130,2.7279,543,105
UC,14,13,9.0000,47,4,260.9668,161114,409,6.0953,1099,550
A*-d2,14,13,9.0000,47,4,260.9668,19762,45,3.6578,216,28
A*-d6,14,13,9.0000,47,4,260.9668,36346,83,4.3883,431,47
UC,14,11,6.7857,47,5,449.3268,163492,418,4.0722,799,683
A*-d2,14,11,6.7857,47,5,449.3268,10642,24,2.4049,126,9
A*-d6,14,11,6.7857,47,5,449.3268,14444,31,2.5862,173,13
UC,14,17,9.3571,53,5,1026.6257,335990,1189,4.5399,700,1771
A*-d2,14,17,9.3571,53,5,1026.6257,102564,243,3.9558,1101,193
A*-d6,14,17,9.3571,53,5,1026.6257,141490,351,4.1382,1213,385
UC,14,20,13.8571,67,4,303.0134,237466,671,6.9974,2186,609
A*-d2,14,20,13.8571,67,4,303.0134,8944,22,2.9858,112,5
A*-d6,14,20,13.8571,67,4,303.0134,50306,128,4.8818,669,43
UC,14,19,11.2143,71,4,1048.3327,248572,685,6.9810,2020,750
A*-d2,14,19,11.2143,71,4,1048.3327,13220,30,3.3494,171,6
A*-d6,14,19,11.2143,71,4,1048.3327,27982,67,4.1544,369,21
UC,14,13,8.4286,55,7,451.2350,132420,331,2.6292,980,419
A*-d2,14,13,8.4286,55,7,451.2350,25616,60,2.0930,304,30
A*-d6,14,13,8.4286,55,7,451.2350,40094,92,2.2304,426,69
UC,14,16,9.0714,41,12,578.9033,290432,1041,1.7447,169,1691
A*-d2,14,16,9.0714,41,12,578.9033,140402,355,1.6776,640,587
A*-d6,14,16,9.0714,41,12,578.9033,164794,445,1.6970,658,727
UC,14,13,7.7143,54,6,1037.2350,364604,1303,3.5234,738,1931
A*-d2,14,13,7.7143,54,6,1037.2350,65194,149,2.8613,731,110
A*-d6,14,13,7.7143,54,6,1037.2350,89034,221,3.0302,1003,150
UC,14,10,6.7857,50,3,367.1499,54144,125,7.5929,300,202
A*-d2,14,10,6.7857,50,3,367.1499,9526,21,4.5576,110,9
A*-d6,14,10,6.7857,50,3,367.1499,27280,59,6.5044,272,51
UC,14,10,6.3571,41,5,295.6100,78334,174,3.5992,588,246
A*-d2,14,10,6.3571,41,5,295.6100,10656,24,2.4130,127,10
A*-d6,14,10,6.3571,41,5,295.6100,31012,67,3.0462,335,53
UC,14,15,10.3571,62,7,625.6810,354168,1183,2.9508,1280,1664
A*-d2,14,15,10.3571,62,7,625.6810,103372,259,2.5817,1022,223
A*-d6,14,15,10.3571,62,7,625.6810,135630,327,2.6552,1102,388
UC,16,20,12.9375,51,6,778.2531,358144,1349,3.5633,1063,1780
A*-d2,16,20,12.9375,51,6,778.2531,65440,189,2.8820,785,90
A*-d6,16,20,12.9375,51,6,778.2531,87808,234,3.0283,1012,137
UC,16,20,12.3750,58,6,851.1117,562904,2364,3.8915,2020,2652
A*-d2,16,20,12.3750,58,6,851.1117,71658,185,2.9108,807,117
A*-d6,16,20,12.3750,58,6,851.1117,149218,393,3.3043,1564,300
UC,16,18,11.4375,75,6,373.5593,31384,80,2.5077,372,39
A*-d2,16,18,11.4375,75,6,373.5593,16424,46,2.2336,211,11
A*-d6,16,18,11.4375,75,6,373.5593,16722,43,2.2336,208,14
UC,16,9,5.5625,42,4,752.2706,152566,384,5.8031,729,639
A*-d2,16,9,5.5625,42,4,752.2706,26028,57,4.0347,324,26
A*-d6,16,9,5.5625,42,4,752.2706,28076,60,4.0347,307,43
UC,16,17,10.9375,62,9,1392.2705,635632,3087,2.4110,1341,3360
A*-d2,16,17,10.9375,62,9,1392.2705,164262,442,2.1859,1785,312
A*-d6,16,17,10.9375,62,9,1392.2705,243438,657,2.2887,2568,489
UC,16,17,9.8125,70,5,712.0170,195300,568,4.2243,928,832
A*-d2,16,17,9.8125,70,5,712.0170,18846,47,2.7781,241,15
A*-d6,16,17,9.8125,70,5,712.0170,41338,102,3.2830,491,55
UC,16,20,11.1250,65,3,393.2262,281360,810,13.8526,1900,963
A*-d2,16,20,11.1250,65,3,393.2262,5170,13,3.6166,60,3
A*-d6,16,20,11.1250,65,3,393.2262,76168,197,9.7641,939,96
UC,16,13,8.3125,51,6,534.4109,197320,527,3.3661,1416,651
A*-d2,16,13,8.3125,51,6,534.4109,18562,43,2.2560,211,23
A*-d6,16,13,8.3125,51,6,534.4109,42766,100,2.6149,434,81
UC,16,10,7.5000,48,6,1217.1103,213426,605,3.2774,786,995
A*-d2,16,10,7.5000,48,6,1217.1103,9014,21,1.9576,105,7
A*-d6,16,10,7.5000,48,6,1217.1103,10894,34,2.0417,131,8
UC,16,18,11.4375,63,3,159.4444,110714,303,10.5610,1021,278
A*-d2,16,18,11.4375,63,3,159.4444,27808,78,6.9189,361,24
A*-d6,16,18,11.4375,63,3,159.4444,35258,90,7.3306,403,51
UC,16,16,9.0625,47,8,915.2135,326124,1179,2.4690,541,1777
A*-d2,16,16,9.0625,47,8,915.2135,44410,110,2.0055,424,95
A*-d6,16,16,9.0625,47,8,915.2135,51388,126,2.0432,475,117
UC,16,17,9.9375,61,4,415.1599,161998,405,6.3208,1476,418
A*-d2,16,17,9.9375,61,4,415.1599,26046,60,4.0253,320,27
A*-d6,16,17,9.9375,61,4,415.1599,69708,169,5.2197,806,110
UC,16,19,11.6250,64,6,1332.2357,645096,3603,3.8397,593,3738
A*-d2,16,19,11.6250,64,6,1332.2357,23060,64,2.3775,292,17
A*-d6,16,19,11.6250,64,6,1332.2357,170664,475,3.3065,1362,509
UC,16,15,9.1875,53,4,301.9676,106174,268,5.6024,905,292
A*-d2,16,15,9.1875,53,4,301.9676,16038,38,3.5645,212,10
A*-d6,16,15,9.1875,53,4,301.9676,17742,42,3.6455,227,14
UC,16,12,7.5000,43,6,1174.2767,262064,798,3.3424,641,1346
A*-d2,16,12,7.5000,43,6,1174.2767,33470,76,2.5322,387,46
A*-d6,16,12,7.5000,43,6,1174.2767,92008,215,2.9730,791,247
UC,16,15,9.6875,50,13,639.0299,255994,773,1.6901,1113,1132
A*-d2,16,15,9.6875,50,13,639.0299,29736,75,1.4437,343,38
A*-d6,16,15,9.6875,50,13,639.0299,52738,133,1.5159,556,96
UC,16,13,7.6875,55,7,1354.8203,316906,1030,2.8739,886,1595
A*-d2,16,13,7.6875,55,7,1354.8203,19378,43,2.0090,246,14
A*-d6,16,13,7.6875,55,7,1354.8203,59170,134,2.3924,677,91
UC,16,13,9.1875,43,5,1489.4981,386408,1376,4.7236,1014,1967
A*-d2,16,13,9.1875,43,5,1489.4981,5592,13,2.0153,58,5
A*-d6,16,13,9.1875,43,5,1489.4981,114424,277,3.9668,1014,297
UC,16,9,6.3125,45,4,1334.0704,239700,713,6.1781,450,1286
A*-d2,16,9,6.3125,45,4,1334.0704,15686,33,3.5061,199,10
A*-d6,16,9,6.3125,45,4,1334.0704,39500,87,4.3883,405,73
UC,16,8,5.7500,33,6,1027.2783,190060,539,3.1307,366,1015
A*-d2,16,8,5.7500,33,6,1027.2783,63722,146,2.8061,608,148
A*-d6,16,8,5.7500,33,6,1027.2783,81496,184,2.9165,724,210
UC,16,18,10.5625,66,7,839.8947,500730,1969,3.1148,1835,2352
A*-d2,16,18,10.5625,66,7,839.8947,24480,62,2.0533,258,39
A*-d6,16,18,10.5625,66,7,839.8947,33318,82,2.1680,363,52
UC,16,13,6.1875,32,4,543.5868,90346,221,5.1156,507,342
A*-d2,16,13,6.1875,32,4,543.5868,8294,19,2.7650,75,14
A*-d6,16,13,6.1875,32,4,543.5868,17176,37,3.4639,170,30
UC,16,17,11.0000,35,4,479.7796,248120,788,6.4540,896,1155
A*-d2,16,17,11.0000,35,4,479.7796,15500,38,3.4351,176,18ù
A*-d6,16,17,11.0000,35,4,479.7796,19962,49,3.6822,225,25
UC,16,15,9.7500,50,4,354.4773,47386,113,4.7841,613,47
A*-d2,16,15,9.7500,50,4,354.4773,17724,42,3.6619,234,11
A*-d6,16,15,9.7500,50,4,354.4773,19592,47,3.7565,255,14
UC,16,15,9.6250,24,8,946.8756,286970,1046,2.4008,197,1692
A*-d2,16,15,9.6250,24,8,946.8756,94120,238,2.2122,791,253
A*-d6,16,15,9.6250,24,8,946.8756,163598,455,2.3180,782,681
UC,18,15,9.7778,48,7,355.5018,241868,684,2.8823,1702,826
A*-d2,18,15,9.7778,48,7,355.5018,18950,48,1.9921,226,21
A*-d6,18,15,9.7778,48,7,355.5018,36566,94,2.2268,448,42
UC,18,19,11.7778,53,4,756.6780,591402,2625,8.0566,1945,2863
A*-d2,18,19,11.7778,53,4,756.6780,8568,22,2.9272,104,5
A*-d6,18,19,11.7778,53,4,756.6780,11806,29,3.1937,140,9
UC,18,8,6.0556,41,5,1120.5033,245628,743,4.2694,577,1273
A*-d2,18,8,6.0556,41,5,1120.5033,23708,54,2.9092,290,25
A*-d6,18,8,6.0556,41,5,1120.5033,74446,171,3.6632,741,164
UC,18,18,10.7778,62,6,246.5274,77990,200,2.9935,991,87
A*-d2,18,18,10.7778,62,6,246.5274,19174,52,2.2964,241,16
A*-d6,18,18,10.7778,62,6,246.5274,22350,59,2.3644,280,20
UC,18,10,6.7222,55,4,998.0859,281242,892,6.6099,839,1408
A*-d2,18,10,6.7222,55,4,998.0859,28374,64,4.0595,319,39
A*-d6,18,10,6.7222,55,4,998.0859,30720,68,4.0958,319,51
UC,18,18,8.9444,43,6,498.4577,180036,474,3.3078,1272,603
A*-d2,18,18,8.9444,43,6,498.4577,39796,100,2.5977,427,70
A*-d6,18,18,8.9444,43,6,498.4577,46734,121,2.6720,493,86
UC,18,20,12.1667,51,5,187.6098,46248,120,3.3823,571,55
A*-d2,18,20,12.1667,51,5,187.6098,15616,41,2.6549,196,13
A*-d6,18,20,12.1667,51,5,187.6098,15812,41,2.6549,194,15
UC,18,19,13.4444,55,6,444.7508,333186,1126,3.6254,1831,1302
A*-d2,18,19,13.4444,55,6,444.7508,25964,71,2.4465,343,17
A*-d6,18,19,13.4444,55,6,444.7508,42396,117,2.6754,545,38
UC,18,11,8.0556,56,3,187.5282,21304,51,6.2080,261,22
A*-d2,18,11,8.0556,56,3,187.5282,6874,17,4.1028,86,3
A*-d6,18,11,8.0556,56,3,187.5282,7742,18,4.2644,94,5
UC,18,11,6.2778,38,4,556.8813,124460,309,5.6135,752,454
A*-d2,18,11,6.2778,38,4,556.8813,11706,26,3.2172,143,10
A*-d6,18,11,6.2778,38,4,556.8813,23822,53,3.9246,290,26
UC,18,8,5.5000,37,4,640.5597,105852,259,5.1394,385,479
A*-d2,18,8,5.5000,37,4,640.5597,9700,22,3.0070,110,10
A*-d6,18,8,5.5000,37,4,640.5597,17302,38,3.5424,195,22
UC,18,10,7.4444,48,5,1061.6047,290466,978,4.3545,419,1611
A*-d2,18,10,7.4444,48,5,1061.6047,22056,50,2.7996,230,35
A*-d6,18,10,7.4444,48,5,1061.6047,23944,55,2.8386,241,41
UC,18,11,7.0000,44,7,854.1890,190384,529,2.7031,847,824
A*-d2,18,11,7.0000,44,7,854.1890,21108,57,2.0395,267,18
A*-d6,18,11,7.0000,44,7,854.1890,41182,97,2.2502,459,64
UC,18,17,9.6667,62,7,1160.8606,402668,1584,2.9569,829,2155
A*-d2,18,17,9.6667,62,7,1160.8606,26518,65,2.1090,322,28
A*-d6,18,17,9.6667,62,7,1160.8606,93648,225,2.5846,1123,131
UC,18,10,7.1111,44,5,1471.6372,357532,1368,4.4894,295,2049
A*-d2,18,10,7.1111,44,5,1471.6372,139028,349,4.1382,1234,364
A*-d6,18,10,7.1111,44,5,1471.6372,176820,451,4.3023,1388,530
UC,18,8,6.1667,43,4,433.5864,144604,350,6.0322,1142,443
A*-d2,18,8,6.1667,43,4,433.5864,20354,46,3.7488,245,22
A*-d6,18,8,6.1667,43,4,433.5864,29832,67,4.2164,385,27
UC,18,20,11.1111,54,5,1068.2971,512812,2415,4.9009,664,2886
A*-d2,18,20,11.1111,54,5,1068.2971,55078,143,3.4928,648,78
A*-d6,18,20,11.1111,54,5,1068.2971,156144,426,4.2380,1384,403
UC,18,9,6.5556,31,3,317.6054,55324,130,8.1826,480,142
A*-d2,18,9,6.5556,31,3,317.6054,5028,12,3.6166,60,3
A*-d6,18,9,6.5556,31,3,317.6054,5028,12,3.6166,60,3
UC,18,16,10.4444,66,7,1259.0653,406326,1560,2.9802,1094,2046
A*-d2,18,16,10.4444,66,7,1259.0653,37458,98,2.2461,488,29
A*-d6,18,16,10.4444,66,7,1259.0653,69074,175,2.4848,915,61
UC,18,14,9.3889,46,8,421.5808,148588,382,2.3543,1216,422
A*-d2,18,14,9.3889,46,8,421.5808,21052,52,1.8318,256,20
A*-d6,18,14,9.3889,46,8,421.5808,24270,63,1.8732,299,23
UC,18,15,10.3333,53,4,682.1377,364774,1271,7.1034,1284,1677
A*-d2,18,15,10.3333,53,4,682.1377,28280,72,4.0838,327,39
A*-d6,18,15,10.3333,53,4,682.1377,46768,117,4.6763,532,74
UC,18,15,9.7222,39,4,766.8211,175236,527,5.6882,351,917
A*-d2,18,15,9.7222,39,4,766.8211,30298,75,4.0686,305,56
A*-d6,18,15,9.7222,39,4,766.8211,41464,102,4.3585,366,100
UC,18,18,9.7778,48,3,324.3496,130226,338,10.6361,886,440
A*-d2,18,18,9.7778,48,3,324.3496,6906,17,4.1028,86,3
A*-d6,18,18,9.7778,48,3,324.3496,28226,71,6.8488,341,33
UC,18,9,6.3889,37,6,1156.4589,260594,826,3.2976,436,1407
A*-d2,18,9,6.3889,37,6,1156.4589,24510,55,2.3932,294,26
A*-d6,18,9,6.3889,37,6,1156.4589,38888,91,2.5860,421,64
UC,18,14,8.7222,46,5,652.1034,274502,851,4.3540,671,1358
A*-d2,18,14,8.7222,46,5,652.1034,28206,68,3.0216,342,32
A*-d6,18,14,8.7222,46,5,652.1034,56758,136,3.4866,622,98
UC,20,17,9.2000,36,8,710.6435,340552,1244,2.5059,848,1737
A*-d2,20,17,9.2000,36,8,710.6435,42026,109,1.9961,419,83
A*-d6,20,17,9.2000,36,8,710.6435,50878,131,2.0427,478,113
UC,20,20,14.2500,70,5,743.1061,364484,1407,4.7990,1609,1604
A*-d2,20,20,14.2500,70,5,743.1061,38784,117,3.2006,422,64
A*-d6,20,20,14.2500,70,5,743.1061,120912,365,4.0315,1128,286
UC,20,12,6.9000,46,4,1329.4231,432140,1740,7.0984,518,2435
A*-d2,20,12,6.9000,46,4,1329.4231,24122,69,3.9611,306,21
A*-d6,20,12,6.9000,46,4,1329.4231,69824,164,5.2288,826,96
UC,20,11,7.0500,47,5,1272.1141,299572,967,4.5592,1125,1396
A*-d2,20,11,7.0500,47,5,1272.1141,8820,26,2.2752,99,7
A*-d6,20,11,7.0500,47,5,1272.1141,61380,157,3.5747,722,86
UC,20,10,5.8500,42,4,301.4998,82056,197,5.2995,775,195
A*-d2,20,10,5.8500,42,4,301.4998,14220,32,3.4302,183,10
A*-d6,20,10,5.8500,42,4,301.4998,15866,36,3.5289,202,12
UC,20,9,6.0500,42,5,566.7840,170896,468,4.1017,801,732
A*-d2,20,9,6.0500,42,5,566.7840,18222,48,2.7757,244,11
A*-d6,20,9,6.0500,42,5,566.7840,19018,44,2.7973,251,13
UC,20,10,7.0000,46,4,362.9583,104404,264,5.3733,659,363
A*-d2,20,10,7.0000,46,4,362.9583,5162,13,2.4834,57,4
A*-d6,20,10,7.0000,46,4,362.9583,6300,21,2.6539,72,5
UC,20,12,8.1500,35,6,739.8577,224314,686,3.2292,461,1179
A*-d2,20,12,8.1500,35,6,739.8577,51826,134,2.6879,487,111
A*-d6,20,12,8.1500,35,6,739.8577,71326,173,2.8575,683,152
UC,20,11,6.9500,49,5,552.7147,201688,579,4.2708,1020,833
A*-d2,20,11,6.9500,49,5,552.7147,14074,34,2.5509,157,18
A*-d6,20,11,6.9500,49,5,552.7147,26090,63,2.9173,281,38
UC,20,18,9.1500,42,4,912.8021,315076,1123,6.6945,744,1615
A*-d2,20,18,9.1500,42,4,912.8021,16144,39,3.5557,212,8
A*-d6,20,18,9.1500,42,4,912.8021,26438,65,4.0898,352,16
UC,20,8,6.2000,35,4,400.0530,106244,260,5.5320,824,317
A*-d2,20,8,6.2000,35,4,400.0530,6722,20,2.7473,83,4
A*-d6,20,8,6.2000,35,4,400.0530,10992,33,3.1636,135,9
UC,20,20,12.4500,62,4,1079.5739,595642,2959,7.8814,1250,3167
A*-d2,20,20,12.4500,62,4,1079.5739,16074,43,3.5152,198,13
A*-d6,20,20,12.4500,62,4,1079.5739,51856,137,4.8981,676,45
UC,20,12,8.0000,37,5,1091.2685,392034,1656,4.6090,407,2247
A*-d2,20,12,8.0000,37,5,1091.2685,48614,137,3.2895,428,123
A*-d6,20,12,8.0000,37,5,1091.2685,72402,191,3.6113,676,171
UC,20,11,7.5000,58,4,252.5699,80548,213,5.1847,670,223
A*-d2,20,11,7.5000,58,4,252.5699,15922,40,3.4968,189,18
A*-d6,20,11,7.5000,58,4,252.5699,17930,43,3.5863,205,22
UC,20,13,7.7000,55,4,499.0346,286896,858,6.7960,1254,1245
A*-d2,20,13,7.7000,55,4,499.0346,12364,34,3.3069,163,6
A*-d6,20,13,7.7000,55,4,499.0346,28980,71,4.1371,348,36
UC,20,9,6.0500,49,4,1059.7423,320302,1150,6.5602,386,1797
A*-d2,20,9,6.0500,49,4,1059.7423,16588,36,3.5334,200,15
A*-d6,20,9,6.0500,49,4,1059.7423,62578,143,4.9777,649,117
UC,20,17,11.5500,50,5,889.9709,802530,4792,5.4132,1325,4374
A*-d2,20,17,11.5500,50,5,889.9709,77254,213,3.7234,835,141
A*-d6,20,17,11.5500,50,5,889.9709,127530,358,4.1260,1305,271
UC,20,16,9.4000,37,8,331.6483,99502,280,2.2069,708,318
A*-d2,20,16,9.4000,37,8,331.6483,33050,93,1.9095,293,75
A*-d6,20,16,9.4000,37,8,331.6483,41838,114,1.9653,340,110
UC,20,12,7.2500,47,8,1180.5826,396834,1616,2.5318,596,2192
A*-d2,20,12,7.2500,47,8,1180.5826,23220,59,1.8612,287,21
A*-d6,20,12,7.2500,47,8,1180.5826,61284,159,2.1386,743,76
UC,20,18,12.4000,64,9,1024.9221,859562,5987,2.4691,699,5031
A*-d2,20,18,12.4000,64,9,1024.9221,71222,205,1.9682,777,121
A*-d6,20,18,12.4000,64,9,1024.9221,124740,367,2.0741,1016,353
UC,20,10,7.0500,44,7,666.0195,189914,548,2.6911,818,806
A*-d2,20,10,7.0500,44,7,666.0195,22888,58,2.0312,245,33
A*-d6,20,10,7.0500,44,7,666.0195,62892,168,2.3569,539,160
UC,20,18,12.1500,50,11,507.6083,235040,772,1.8948,1566,825
A*-d2,20,18,12.1500,50,11,507.6083,33664,102,1.5830,369,52
